,ticks,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,r,theta,phi
b28a8a33-e2c6-4135-b3b2-b023ce16ef90,6807,-992,-40,-124,-700,100,0,170,607,-68,1000.52,97.12,-162.12
ef00b6ef-42da-4fe2-899b-4c8d3f1cdd9a,6826,-992,-39,-126,-800,400,-200,182,613,-62,1000.73,97.23,-162.8
0674a27f-196d-4d02-ad8e-538015cf996b,6845,-992,-37,-125,-800,-100,0,177,613,-65,1000.53,97.18,-163.51
2b45e4d6-f73f-45c4-8e25-235150248841,6863,-993,-39,-125,-700,0,0,174,613,-68,1001.6,97.17,-162.67
7b64dd9b-62c9-48df-beac-2c98655ed3cc,6882,-991,-38,-126,-800,100,100,176,609,-71,999.7,97.24,-163.22
b3c3fc4f-5de4-494f-aab4-625aa3635ae5,6907,-992,-38,-125,-800,0,-100,179,606,-63,1000.57,97.18,-163.09
30a48f19-4191-491e-9cf1-7eeff58d338a,6926,-992,-38,-127,-800,700,0,186,606,-65,1000.82,97.29,-163.34
ccf567f1-6221-4807-8681-791ddcf40006,6945,-991,-40,-125,-700,200,100,183,615,-69,999.65,97.18,-162.26
959f491b-98d1-47b7-a8cc-14526a2fd8c5,6963,-992,-38,-127,-800,300,-300,176,610,-65,1000.82,97.29,-163.34
0c729208-6892-4c76-bd40-83cf8062ec1d,6982,-992,-38,-126,-800,0,0,170,610,-60,1000.69,97.23,-163.22
d82d93cb-c5bc-45dd-bf33-76c62ffea653,6988,-989,-39,-125,-800,400,300,174,612,-62,997.63,97.2,-162.67
ba11e8eb-eab8-4753-b52e-103150d14705,7001,-989,-38,-124,-800,-200,0,176,618,-63,997.47,97.14,-162.96
1a29c741-d180-4531-8c54-61afd451d1cf,7026,-958,-61,21,37500,-16500,30300,186,600,-78,960.17,88.75,-71.0
55ae25fe-9146-4053-aca3-b9afdbcbeb6d,7045,-953,-117,-327,-73100,-13500,-22300,192,609,-86,1014.31,108.81,-160.31
cc484bb2-a2d0-4f5e-8784-ad23322a51d5,7063,-963,108,-465,-130000,140000,26100,138,594,57,1074.83,115.63,166.92
2e038268-5e65-4564-9fa1-a0f543b3bae6,7082,-691,434,-583,-155600,94900,168700,-97,538,170,1002.86,125.54,143.34
3ee800b9-4876-412c-a7bd-2465e7f6df2d,7101,-180,733,-435,-79300,194600,310200,-361,315,245,871.16,119.96,120.69
81fd1fb9-5d67-47e2-bbf3-3e1d5e387d03,7126,513,546,-321,-57100,97500,161600,-415,-100,175,815.06,113.19,120.45
41032408-1da0-4043-a52e-a780f013b3ed,7145,755,600,-341,115900,88000,30600,-339,-208,163,1022.89,109.47,119.61
d2f2f094-3921-4efd-990b-6a73468a9148,7170,836,268,-569,222700,-42400,9700,-67,-252,247,1046.17,122.95,154.78
3977d56a-c03a-4cfd-b817-f41f40db862b,7188,766,-120,-641,284900,-62500,26200,185,-204,233,1006.0,129.58,-169.4
15eae156-4844-4754-8383-a664d5077ea0,7207,612,-608,-268,336800,35000,100800,430,-115,31,903.34,107.26,-113.79
8bdcaf30-8608-402a-bfd5-0a386258cad4,7226,483,-864,352,150700,-41700,61300,436,-1,-357,1050.57,70.42,-67.83
14120401-6e96-43a6-aa95-8126a191b1a7,7245,320,-823,527,146000,10900,78500,319,57,-491,1028.33,59.17,-57.37
d165dc81-9254-402d-95e2-f0ee79cb0d90,7270,123,-382,822,180400,82900,130300,47,147,-570,914.73,26.02,-24.93
7e6f8485-9eae-4883-95e6-c9a4179c566c,7288,-508,-61,913,122900,164000,162900,-145,312,-488,1046.59,29.27,-3.82
aef8f46d-c036-4b7a-9592-b0875c8ce825,7307,-821,163,839,-158600,178900,164500,-217,385,-407,1185.13,44.93,10.99
f53c025d-56df-4ed7-bea4-5e74b90fe4e8,7326,-714,290,86,-225800,300600,116900,-237,489,-269,775.43,83.63,73.48
50cc25f7-5190-4095-b634-feeb7e0d9854,7351,-860,394,-469,17500,62600,1600,-417,453,-99,1055.84,116.37,139.97
67fa0f97-fcf1-4148-a794-431a46b9c444,7370,-859,115,-476,-14300,-77800,-116900,-46,637,-69,988.78,118.78,166.42
ff03d9cd-02f2-4721-b48f-fc21e40a59d6,7388,-1085,-50,-98,-58200,-188000,103900,-124,633,-216,1090.56,95.16,-152.97
fae2683e-b3fe-412a-b51c-3e00426fb658,7413,-976,-120,-270,-700,1400,0,62,655,-93,1019.74,105.35,-156.04
8f775d98-42b5-4553-be85-fe2aee384ae2,7432,-948,-113,-285,-800,700,-300,60,648,-99,996.34,106.62,-158.37
c963c7f2-18dd-4e64-b050-8ab6946d1b89,7451,-947,-114,-284,-900,200,0,63,654,-101,995.22,106.58,-158.13
35493544-016d-4681-9b89-62b627062140,7470,-946,-113,-283,-900,-200,0,62,658,-99,993.87,106.54,-158.23
e73e664d-b943-45ec-9484-10223b1fa6c5,7488,-947,-112,-283,-900,-200,100,62,658,-92,994.71,106.53,-158.41
