,ticks,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,r,theta,phi
b4774b2f-9828-4afe-ba1b-f50c90915f59,19603,95,287,991,-600,300,-300,-73,-195,-375,1036.09,16.97,71.68
f87b29e8-f33b-4eae-8c56-188c7de94e52,19622,94,289,991,-900,600,0,-70,-192,-372,1036.55,17.05,71.98
4758d505-1495-4eda-b52c-6525e5061f83,19641,96,291,992,-800,200,0,-66,-195,-387,1038.25,17.17,71.74
c025c7bb-9044-4529-a278-7f098bedc5e9,19659,96,288,991,-900,200,0,-73,-207,-380,1036.46,17.03,71.57
61ace984-cb04-4f51-ad47-8f41af946378,19678,95,289,988,-800,200,0,-78,-195,-386,1033.77,17.11,71.8
c3467217-31eb-4289-bc22-2dbbdd732680,19697,112,263,958,-6500,53700,18400,-64,-204,-365,999.74,16.61,66.93
49d7936e-2fd3-46ad-9021-debc31224d91,19716,-89,165,1147,-13100,33300,-4000,-63,-204,-372,1162.22,9.28,118.34
4e35624d-82fd-4cb4-b0ec-b916caf35e95,19734,156,373,1243,-1900,-44600,195600,-30,-232,-342,1307.1,18.02,67.3
9c2c6176-f7d6-4ecb-affb-3fe313711fea,19753,222,365,806,59400,-13200,7400,-9,-253,-318,912.22,27.93,58.69
a13d3b18-a120-45e2-95a1-1b1c20237a86,19778,544,371,694,9500,58800,-8000,-3,-276,-305,956.67,43.5,34.29
02aa86bf-d3ad-40a2-835a-029489c7f90e,19797,641,176,873,-148200,81600,-300,53,-291,-285,1097.26,37.29,15.35
3cec301c-8337-47fa-8e70-ed702c57356d,19816,-62,420,797,109300,240300,-39600,-9,-151,-450,903.02,28.04,98.4
df52ad7b-dde5-48c9-aba2-3cc0e86c80f2,19834,-647,570,206,162000,327800,-3600,-219,297,-369,886.54,76.56,138.62
1357d7c4-66c2-43c7-b7c9-0c8737174690,19853,-695,525,-290,81900,90200,-44100,-276,406,-156,918.01,108.42,142.93
d18cb0f9-8724-41f0-aa02-c5178cc69969,19872,-614,571,-766,62900,60700,2400,-294,415,13,1135.69,132.41,137.08
02422e25-5e9a-4b44-9143-6041c97b255c,19891,-1156,517,-564,-161400,-621300,-6700,-282,403,-207,1386.26,114.01,155.9
936056c7-9777-48fa-a5fa-7a45476543ac,19909,-336,306,798,-77000,-308100,18900,-136,36,-480,918.33,29.66,137.68
4c78f8cb-78ab-4d1e-ac59-947515cdf95b,19934,155,179,873,-115500,-118100,30100,-54,-190,-413,904.54,15.17,49.11
5eeb3c51-cade-4c77-80b2-53100ad1ac83,19953,379,-6,995,-120800,-210500,-52800,0,-292,-309,1064.75,20.85,-0.91
153b6f5b-8933-4ac1-a431-b3f4d0ef3717,19972,939,52,531,-23300,-197100,-91700,-84,-333,-89,1079.99,60.55,3.17
9de97899-16b3-48b1-a9ca-296eaa20b35a,19991,1008,275,152,17600,-85100,-71100,-165,-277,57,1055.84,81.72,15.26
5bba15ec-0cb0-47fc-b527-9fd5d2325472,20009,865,517,-135,32200,-103800,-46400,-205,-205,145,1016.73,97.63,30.87
3ee92d4f-f610-4268-8e20-70bbe60ad860,20028,785,434,-248,-23000,-79900,48600,-211,-165,185,930.64,105.46,28.94
58836fb9-e542-414e-9a58-03b219e5817c,20047,1080,-18,-101,-13500,74200,188500,-117,-258,118,1084.86,95.34,-0.95
a2b1d4de-d97d-4cc6-805f-4d3041307379,20072,623,-899,531,-88900,135500,197100,195,-297,-68,1215.85,64.1,-55.28
eea9920e-389a-4d0a-8881-3aaa5d8eb554,20091,572,-1451,399,151900,79100,290900,390,-88,-195,1609.9,75.65,-68.49
e9fa09c2-9bcd-47e7-a1ad-5a116b559fe9,20109,-881,-451,681,81500,50300,86700,345,-18,-347,1201.38,55.47,-152.89
